Oxysoft export of,C:\Documents and Settings\fsepulv\Desktop\TFMP01,,,,,,,,,,,,,,,,,,,,,,,,
Export date,2010-07-19 22:00,,,,,,,,,,,,,,,,,,,,,,,,
Datafile date,2010-05-07 14:55,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Datafile sample rate,2,Hz,,,,,,,,,,,,,,,,,,,,,,,
Datafile duration,348,s,,,,,,,,,,,,,,,,,,,,,,,
Datafile total number of samples,696,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Description,,,,,,,,,,,,,,,,,,,,,,,,,
Optodetemplate,24 channel square (split),,,,,,,,,,,,,,,,,,,,,,,,
OptodeDistance,35,,,,,,,,,,,,,,,,,,,,,,,,
DPF,6.61,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Device ids,69,63,,,,,,,,,,,,,,,,,,,,,,,
# Receivers,4,,,,,,,,,,,,,,,,,,,,,,,,
# Lasers,16,,,,,,,,,,,,,,,,,,,,,,,,
# ADC,16,,,,,,,,,,,,,,,,,,,,,,,,
Laser wavelengths,,,,,,,,,,,,,,,,,,,,,,,,,
Laser 1,860,nm,,,,,,,,,,,,,,,,,,,,,,,
Laser 2,765,nm,,,,,,,,,,,,,,,,,,,,,,,
Laser 3,860,nm,,,,,,,,,,,,,,,,,,,,,,,
Laser 4,765,nm,,,,,,,,,,,,,,,,,,,,,,,
Laser 5,860,nm,,,,,,,,,,,,,,,,,,,,,,,
Laser 6,765,nm,,,,,,,,,,,,,,,,,,,,,,,
Laser 7,860,nm,,,,,,,,,,,,,,,,,,,,,,,
Laser 8,765,nm,,,,,,,,,,,,,,,,,,,,,,,
Laser 9,857,nm,,,,,,,,,,,,,,,,,,,,,,,
Laser 10,765,nm,,,,,,,,,,,,,,,,,,,,,,,
Laser 11,857,nm,,,,,,,,,,,,,,,,,,,,,,,
Laser 12,765,nm,,,,,,,,,,,,,,,,,,,,,,,
Laser 13,857,nm,,,,,,,,,,,,,,,,,,,,,,,
Laser 14,765,nm,,,,,,,,,,,,,,,,,,,,,,,
Laser 15,857,nm,,,,,,,,,,,,,,,,,,,,,,,
Laser 16,765,nm,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Export sample rate,2,Hz,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,,,,
Column,Trace (Measurement),,,,,,,,,,,,,,,,,,,,,,,,
1,(Sample number),,,,,,,,,,,,,,,,,,,,,,,,
2,Rx1a - Tx1 O2Hb (TFMP01),,,,,,,,,,,,,,,,,,,,,,,,
3,Rx1a - Tx1 HHb (TFMP01),,,,,,,,,,,,,,,,,,,,,,,,
4,Rx1a - Tx1 HbDiff (TFMP01),,,,,,,,,,,,,,,,,,,,,,,,
5,Rx1a - Tx3 O2Hb (TFMP01),,,,,,,,,,,,,,,,,,,,,,,,
6,Rx1a - Tx3 HHb (TFMP01),,,,,,,,,,,,,,,,,,,,,,,,
7,Rx1a - Tx3 HbDiff (TFMP01),,,,,,,,,,,,,,,,,,,,,,,,
8,Rx2a - Tx2 O2Hb (TFMP01),,,,,,,,,,,,,,,,,,,,,,,,
9,Rx2a - Tx2 HHb (TFMP01),,,,,,,,,,,,,,,,,,,,,,,,
10,Rx2a - Tx2 HbDiff (TFMP01),,,,,,,,,,,,,,,,,,,,,,,,
11,Rx2a - Tx4 O2Hb (TFMP01),,,,,,,,,,,,,,,,,,,,,,,,
12,Rx2a - Tx4 HHb (TFMP01),,,,,,,,,,,,,,,,,,,,,,,,
13,Rx2a - Tx4 HbDiff (TFMP01),,,,,,,,,,,,,,,,,,,,,,,,
14,Rx3b - Tx6 O2Hb (TFMP01),,,,,,,,,,,,,,,,,,,,,,,,
15,Rx3b - Tx6 HHb (TFMP01),,,,,,,,,,,,,,,,,,,,,,,,
16,Rx3b - Tx6 HbDiff (TFMP01),,,,,,,,,,,,,,,,,,,,,,,,
17,Rx3b - Tx8 O2Hb (TFMP01),,,,,,,,,,,,,,,,,,,,,,,,
18,Rx3b - Tx8 HHb (TFMP01),,,,,,,,,,,,,,,,,,,,,,,,
19,Rx3b - Tx8 HbDiff (TFMP01),,,,,,,,,,,,,,,,,,,,,,,,
20,Rx4b - Tx5 O2Hb (TFMP01),,,,,,,,,,,,,,,,,,,,,,,,
21,Rx4b - Tx5 HHb (TFMP01),,,,,,,,,,,,,,,,,,,,,,,,
22,Rx4b - Tx5 HbDiff (TFMP01),,,,,,,,,,,,,,,,,,,,,,,,
23,Rx4b - Tx7 O2Hb (TFMP01),,,,,,,,,,,,,,,,,,,,,,,,
24,Rx4b - Tx7 HHb (TFMP01),,,,,,,,,,,,,,,,,,,,,,,,
25,Rx4b - Tx7 HbDiff (TFMP01),,,,,,,,,,,,,,,,,,,,,,,,
26,(Event),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,71.2230072,51.9110641,19.311945,40.4167442,74.9025879,-34.4858437,52.4024544,53.5007744,-1.0983183,68.9105911,49.0433693,19.8672199,50.6106339,53.5431709,-2.9325359,70.8040237,49.415432,21.3885937,75.1151352,51.7563248,23.3588066,71.9355927,52.6706543,19.2649384,
1,71.0699539,52.1426773,18.9272728,40.0432816,75.4677277,-35.4244461,51.2490654,54.0675545,-2.8184874,67.7518082,49.3880157,18.3637924,49.3747787,54.7209473,-5.346168,70.3513107,48.8297997,21.5215111,74.6009216,51.4129868,23.1879311,72.720192,51.8174782,20.9027138,
2,70.9423676,52.0241661,18.9182053,40.3069305,74.946846,-34.6399155,52.2316284,53.5696182,-1.3379864,67.8620148,49.2212563,18.6407566,49.7328606,54.1823997,-4.4495401,70.3282242,49.8722687,20.4559555,73.2723846,52.6892853,20.5831032,73.0052567,52.0560493,20.9492092,
3,70.7638321,52.6059036,18.1579285,40.5265617,74.8583298,-34.3317719,52.7742844,53.4528809,-0.6785943,68.0694427,49.137661,18.9317818,50.2038574,54.5907364,-4.3868775,70.2166824,49.7812805,20.4354019,74.2619476,52.2904854,21.9714584,72.23246,52.5510139,19.6814442,
4,70.2280273,52.4819794,17.7460518,40.5801582,75.251358,-34.6712036,51.9509888,53.6827164,-1.7317268,68.4842987,48.9704704,19.5138321,51.1553497,53.6091309,-2.4537797,70.6867218,49.5918503,21.0948715,75.1151352,51.7563248,23.3588066,72.8565369,51.9392548,20.917284,
5,70.2280273,52.4819794,17.7460518,41.1610527,74.6026306,-33.4415779,51.8720016,53.6125908,-1.7405914,68.1742554,48.748764,19.4254875,50.2148132,53.7026901,-3.4878778,71.1621094,48.8768845,22.285223,74.7687912,51.8959045,22.8728828,71.1124496,52.6421394,18.4703083,
6,70.2280273,52.4819794,17.7460518,41.2708664,74.5583725,-33.2875061,52.4034004,53.2013168,-0.7979164,68.0694427,49.137661,18.9317818,51.0808258,53.4488411,-2.3680136,69.8763123,49.7893028,20.0870113,74.1008377,52.1650925,21.9357433,72.0657654,52.8017159,19.2640495,
7,70.916893,52.3742905,18.5426006,41.0512352,74.6468887,-33.5956497,52.5010147,53.1619759,-0.6609632,68.2768707,49.0540657,19.2228069,51.3401299,53.0588608,-1.7187313,69.1959915,50.0634766,19.1325169,74.6015091,51.7797966,22.8217087,71.9355927,52.6706543,19.2649384,
8,71.2097321,52.2562752,18.9534607,41.1610527,74.6026306,-33.4415779,52.4082336,53.6004028,-1.1921686,68.0564651,49.3875885,18.6688786,50.3330956,54.137619,-3.8045247,70.692482,49.32444,21.368042,73.766861,52.2996864,21.4671726,71.7262039,53.3124084,18.4137993,
9,71.2230072,51.9110641,19.311945,40.8438072,74.730484,-33.886673,51.5110817,54.0639191,-2.5528355,68.1666718,49.2208252,18.9458427,51.6620407,53.1194496,-1.4574087,69.3194733,49.8777733,19.4417,72.9204788,53.218544,19.7019348,72.696022,52.1806717,20.5153465,
10,71.3495178,52.3698692,18.9796467,40.5265617,74.8583298,-34.3317719,51.2426414,54.1721001,-2.9294567,69.1317215,48.4784508,20.6532764,50.3756142,53.637886,-3.2622702,71.2794113,48.7004662,22.5789452,74.9422684,52.0163116,22.9259529,73.0052567,52.0560493,20.9492092,
11,69.4227142,52.8065262,16.616188,40.9536209,74.6862259,-33.7326012,53.9392319,53.0853577,0.8538742,68.7031631,49.1269646,19.5761929,50.339119,54.0332375,-3.694119,71.1621094,48.8768845,22.285223,73.2723846,52.6892853,20.5831032,72.5596771,52.0588951,20.5007782,
12,70.3240128,52.9598808,17.3641281,41.0512352,74.6468887,-33.5956497,52.8776779,53.5131683,-0.6354913,68.5937271,49.0487175,19.5450134,50.3950958,54.2077942,-3.8126988,71.039917,49.8641396,21.1757774,74.2669449,51.5475807,22.7193604,71.6814423,52.4128304,19.2686119,
13,71.3495178,52.3698692,18.9796467,40.8438072,74.730484,-33.886673,52.0415344,53.9520988,-1.9105625,68.3809509,48.8965683,19.4843845,51.0185242,53.1884689,-2.1699467,71.4099121,49.0353127,22.3745995,73.4452591,52.4292984,21.0159588,72.1264572,52.0567589,20.0697021,
14,69.6534729,53.0533867,16.6000862,40.8438072,74.730484,-33.886673,52.406601,54.1176453,-1.7110448,68.4842987,48.9704704,19.5138321,51.1793251,53.1236649,-1.9443389,70.4686127,48.6533775,21.8152332,74.4348145,52.0304985,22.404314,72.7320175,51.4728546,21.2591629,
15,70.508667,52.3688774,18.1397915,41.1610527,74.6026306,-33.4415779,52.3163986,53.7393684,-1.422972,68.2638931,49.3039932,18.9599037,50.8637619,53.1624756,-2.2987125,69.8763123,49.7893028,20.0870113,73.766861,52.2996864,21.4671726,71.2564697,53.6920319,17.5644379,
16,70.4831924,52.7190056,17.7641869,40.624176,74.8189926,-34.1948204,53.0436707,53.0452423,-0.0015711,68.9120941,48.5669632,20.3451309,49.7398415,54.6757813,-4.9359407,70.1290512,49.1640663,20.964983,73.4570389,52.0575027,21.3995342,73.7842484,51.5653839,22.2188663,
17,70.112648,52.3585472,17.7541027,40.8438072,74.730484,-33.886673,52.6824493,53.5918465,-0.9093977,69.2358017,48.3209534,20.914854,52.322773,52.2074394,0.1153329,70.4516983,49.6865654,20.7651367,74.7687912,51.8959045,22.8728828,72.5776749,51.7049866,20.8726845,
18,71.2230072,51.9110641,19.311945,41.9101486,74.7153625,-32.8052177,52.4034004,53.2013168,-0.7979164,68.5883789,48.812973,19.7754097,50.9823303,53.7740173,-2.7916884,69.1597595,50.6218529,18.5379028,75.6152115,51.0042191,24.6109943,73.0345383,51.0178757,22.0166588,
